Service Month,Index Stays,Readmission Stays,Readmission Rate
Jan-08,935886,181225,19.36
Feb-08,931485,178331,19.36
Mar-08,941802,178382,19.14
Apr-08,905984,171567,18.94
May-08,893809,168860,18.94
Jun-08,839659,159879,18.89
Jul-08,859820,163771,19.04
Aug-08,844495,159695,19.05
Sep-08,817662,155218,18.91
Oct-08,880950,165566,18.98
Nov-08,809180,152846,18.79
Dec-08,876942,171304,18.89
Jan-09,906141,173816,19.53
Feb-09,836110,161382,19.18
Mar-09,916021,174510,19.30
Apr-09,881780,167479,19.05
May-09,861001,162913,18.99
Jun-09,848620,161625,18.92
Jul-09,860252,162771,19.05
Aug-09,816421,153423,18.92
Sep-09,818412,155529,18.79
Oct-09,868853,162329,19.00
Nov-09,800355,149814,18.68
Dec-09,858009,165647,18.72
Jan-10,883740,166328,19.31
Feb-10,825962,157839,18.82
Mar-10,942195,177533,19.11
Apr-10,880756,166706,18.84
May-10,866921,163019,18.93
Jun-10,850681,163454,18.80
Jul-10,859616,163480,19.21
Aug-10,839950,159475,19.02
Sep-10,834773,158679,18.99
Oct-10,864873,161547,19.01
Nov-10,828111,155420,18.68
Dec-10,880714,171192,18.77
Jan-11,908858,172361,19.44
Feb-11,841340,160881,18.96
Mar-11,942221,178707,19.12
Apr-11,874945,165010,18.97
May-11,873712,164856,18.86
Jun-11,851448,160531,18.87
Jul-11,828706,156830,18.85
Aug-11,847212,159460,18.92
Sep-11,832384,156853,18.82
Oct-11,843049,155792,18.84
Nov-11,821254,153367,18.48
Dec-11,862589,165337,18.67
Jan-12,885655,164805,19.17
Feb-12,843644,157885,18.61
Mar-12,914945,167562,18.71
Apr-12,826548,151806,18.31
May-12,850873,156176,18.37
Jun-12,816450,151309,18.35
Jul-12,804633,147893,18.53
Aug-12,836246,152842,18.38
Sep-12,778407,140489,18.28
Oct-12,833277,148709,18.05
Nov-12,806387,146140,17.85
Dec-12,840028,157820,18.12
Jan-13,924259,165489,18.79
Feb-13,788370,141877,17.91
Mar-13,851633,152395,18.00
Apr-13,822295,145721,17.89
May-13,827477,147583,17.72
Jun-13,771125,136699,17.84
Jul-13,787185,141025,17.73
Aug-13,798634,142413,17.92
Sep-13,748034,131179,17.83
Oct-13,786769,136775,17.54
Nov-13,749715,130969,17.38
Dec-13,774558,141060,17.47
Jan-14,838098,148911,18.21
Feb-14,740487,131056,17.77
Mar-14,801741,142626,17.70
Apr-14,794472,142307,17.79
May-14,804720,142664,17.91
Jun-14,757449,135259,17.73
Jul-14,773951,138414,17.86
Aug-14,762879,135873,17.88
Sep-14,747180,132855,17.81
Oct-14,795847,138966,17.78
Nov-14,722766,128366,17.46
Dec-14,829321,153131,17.76
Jan-15,873673,153700,17.59
Feb-15,753437,134403,17.84
Mar-15,828487,147271,17.78
Apr-15,803085,142164,17.70
May-15,784373,139145,17.74
Jun-15,768724,137780,17.92
Jul-15,778769,138295,17.76
Aug-15,745295,132209,17.74
Sep-15,745365,132845,17.82
Oct-15,784748,136052,17.34
Nov-15,726261,127902,17.61
Dec-15,785965,142147,18.09
Jan-16,795097,139270,17.52
Feb-16,772434,137234,17.77
Mar-16,838004,147940,17.65
Apr-16,787893,136296,17.30
May-16,769173,134195,17.45
